Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
422	ALIMENTARY PHARMACOLOGY & THERAPEUTICS	20,998	7.731	0.03343
423	JOURNAL OF INTERNATIONAL BUSINESS STUDIES	15,419	7.724	0.00803
424	JOURNAL OF CATALYSIS	47,618	7.723	0.03318
425	AUTOIMMUNITY REVIEWS	9,127	7.716	0.01822
426	Environmental Science-Nano	3,769	7.704	0.00857
427	Annual Review of Nuclear and Particle Science	2,527	7.7	0.00351
428	ECOLOGICAL MONOGRAPHS	11,025	7.698	0.00775
429	CURRENT OPINION IN IMMUNOLOGY	9,164	7.667	0.01744
430	IEEE Transactions on Sustainable Energy	8,780	7.65	0.02241
430	JOURNAL OF HAZARDOUS MATERIALS	96,476	7.65	0.06606
432	RADIOLOGY	54,641	7.608	0.0613
433	IEEE SIGNAL PROCESSING MAGAZINE	12,072	7.602	0.0168
434	INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS	4,174	7.6	0.0037
435	SPORTS MEDICINE	16,366	7.583	0.02247
